OrgIndexId|GradYear|SchoolYear|StudentGroup|GradeLevel|DAT|CountExpected|CountMet|CountPrevPassed|PctMet_OSPI|PctMet|L1|L2|L3|L4|PctFoundational|CountFoundational|PctAltAssessment|DataAsOf|PctMet_Flag|PctMet_Delta
267|2025|2014-15|All Students|3|ERR_None|55|37|55|67.3%|0.672727|0.1636363636363|0.1636363636363|0.3636363636363|0.3090909090909||||09/09/2022 12:00:00 AM|OK|2.72727200045786E-07
267|2025|2014-15|Homeless|3|Lt10orNo||||Suppressed: N<10|||||||||09/09/2022 12:00:00 AM|No L3L4|
267|2025|2014-15|Low-Income|3|ERR_None|22|12|22|54.5%|0.545455|0.2272727272727|0.2272727272727|0.3636363636363|0.1818181818181||||09/09/2022 12:00:00 AM|OK|-4.54545600048206E-07
267|2025|2014-15|Migrant|3|Lt10orNo||||Suppressed: N<10|||||||||09/09/2022 12:00:00 AM|No L3L4|
267|2024|2014-15|All Students|4|ERR_None|73|46|73|63.0%|0.630137|0.1780821917808|0.1780821917808|0.2054794520547|0.4246575342465||||09/09/2022 12:00:00 AM|OK|-1.36987999832527E-08
267|2024|2014-15|Homeless|4|Lt10orNo||||Suppressed: N<10|||||||||09/09/2022 12:00:00 AM|No L3L4|
267|2024|2014-15|Low-Income|4|ERR_None|24|9|24|37.5%|0.375|0.3333333333333|0.2916666666666|0.2916666666666|0.0833333333333||||09/09/2022 12:00:00 AM|OK|-9.99755833674953E-14
267|2024|2014-15|Migrant|4|Lt10orNo||||Suppressed: N<10|||||||||09/09/2022 12:00:00 AM|No L3L4|
267|2023|2014-15|All Students|5|ERR_None|70|30|70|42.9%|0.428571|0.2714285714285|0.2714285714285|0.2714285714285|0.1571428571428||||09/09/2022 12:00:00 AM|OK|4.28571300059577E-07
267|2023|2014-15|Homeless|5|Lt10orNo||||Suppressed: N<10|||||||||09/09/2022 12:00:00 AM|No L3L4|
267|2023|2014-15|Low-Income|5|ERR_None|23|5|23|21.7%|0.217391|0.3913043478260|0.3478260869565|0.0869565217391|0.1304347826086||||09/09/2022 12:00:00 AM|OK|3.0434769998644E-07
267|2023|2014-15|Migrant|5|Lt10orNo||||Suppressed: N<10|||||||||09/09/2022 12:00:00 AM|No L3L4|
267|2022|2014-15|All Students|6|ERR_None|69|24|69|34.8%|0.347826|0.2608695652173|0.3913043478260|0.1594202898550|0.1884057971014||||09/09/2022 12:00:00 AM|OK|8.69564000249845E-08
267|2022|2014-15|Homeless|6|Lt10orNo||||Suppressed: N<10|||||||||09/09/2022 12:00:00 AM|No L3L4|
267|2022|2014-15|Low-Income|6|ERR_None|24|3|24|12.5%|0.125|0.3750000000000|0.5000000000000|0.0416666666666|0.0833333333333||||09/09/2022 12:00:00 AM|OK|-1.00003338943111E-13
267|2021|2014-15|All Students|7|ERR_None|78|23|78|29.5%|0.294872|0.3461538461538|0.3589743589743|0.1666666666666|0.1282051282051||||09/09/2022 12:00:00 AM|OK|-2.05128300012625E-07
267|2021|2014-15|Homeless|7|Lt10orNo||||Suppressed: N<10|||||||||09/09/2022 12:00:00 AM|No L3L4|
267|2021|2014-15|Low-Income|7|LtGt||||<10%|0.1||||||||09/09/2022 12:00:00 AM|No L3L4|
267|2021|2014-15|Migrant|7|Lt10orNo||||Suppressed: N<10|||||||||09/09/2022 12:00:00 AM|No L3L4|
267|2020|2014-15|All Students|8|ERR_None|69|17|69|24.6%|0.246377|0.3913043478260|0.3188405797101|0.1304347826086|0.1159420289855||||09/09/2022 12:00:00 AM|OK|-1.88405899992361E-07
267|2020|2014-15|Homeless|8|Lt10orNo||||Suppressed: N<10|||||||||09/09/2022 12:00:00 AM|No L3L4|
