"droot","Record_Count","District_Count","Avg_Hours_Per_Day","Min_Hours_Per_Day","Max_Hours_Per_Day","Avg_Days_Per_Year","Min_Days_Per_Year","Max_Days_Per_Year","Avg_Annual_Work_Hours","Min_Annual_Work_Hours","Max_Annual_Work_Hours","Null_Count","Zero_Count","Sub_500_Hour_Records","Over_2500_Hour_Records"
"00","6","3","7.58333333333333","6.5","8","210.833333333333","180","260","1611.66666666667","1170","2080","0","0","0","0"
"11","7105","320","7.97615482056233","0.03","80","250.784588326408","16.2999992370605","365","2001.27331153036","7.8","20800","0","0","39","5"
"12","4858","126","7.98631123919308","6","8","255.323384108687","165","306","2039.41776451214","1260","2448","0","0","0","0"
"13","48089","285","7.96371353109949","0.03","9","247.336667426603","18","365","1971.57154476811","7.8","2920","0","0","9","8"
"21","39007","291","7.98074986545865","1.21000003814697","11.4300003051758","244.893567827263","16.2999992370605","306","1955.02853058362","130.399993896484","2868.93007659912","0","0","21","1"
"22","18133","185","7.98649037671393","0.03","10","247.859427568897","107.5","262","1980.14477974276","7.8","2096","0","0","1","0"
"23","22719","276","7.97637307979653","0.800000011920929","10","241.096170612817","16.2999992370605","305","1923.77856315127","130.399993896484","2440","0","0","7","0"
"24","27981","193","7.98462420930123","2","9","246.047718098675","21","265","1965.16343200966","168","2120","0","0","1","0"
"25","16842","255","7.73248189010468","1.21000003814697","10","210.996609667216","48","365","1638.87463091671","104","2920","0","0","5","12"
"31","1312331","324","7.365502155651","0.03","10.5","180.562745606531","0.600000023841858","360","1329.92195504324","1","2700","0","0","124","17"
"32","1318508","313","7.36884460296611","0.03","80","180.581852597135","0.100000001490116","360","1330.70488259741","0.800000011920929","14800","0","0","211","41"
"33","700332","307","7.42787346461494","0.660000026226044","8.75","180.639304787634","1","360","1341.75988097632","8","2700","0","0","83","9"
"34","396617","263","7.34489943541834","1.60000002384186","8.88","180.712013858398","104","306","1327.25331033452","288.000004291534","2448","0","0","15","0"
"39","791","17","7.38385590805266","6.82999992370605","8","180.073324905183","180","185","1329.6239875941","1260","1440","0","0","0","0"
"40","214627","258","7.39658756906748","0.0799999982118607","8.88","181.505167571661","89","261","1342.95736638617","15.9999996423721","2088","0","0","25","0"
"41","67818","162","7.39908903166976","4.5","8","180.617824178362","180","360","1336.33197538163","819","2520","0","0","0","6"
"42","166706","286","7.37763133917959","1.12000000476837","8.75","180.655377132285","1.79999995231628","261","1332.79190696527","14.3999996185303","2088","0","0","13","0"
"43","49548","148","7.45278275683668","2","8.75","180.791931058416","104","265","1347.403957633","208","2120","0","0","1","0"
"44","12671","103","7.46852340435419","3.20000004768372","8","180.740367769885","180","265","1349.82783838681","576.000008583069","2120","0","0","0","0"
"45","112802","186","7.43304622293421","3.5","8.75","180.676573111245","4","260","1342.98931974748","25.6000003814697","2080","0","0","6","0"
"46","94310","199","7.4208372389367","1.2","8.75","180.662334854309","104","360","1340.68578921673","219.6","2520","0","0","3","14"
"47","62577","154","7.52793150807024","0.800000011920929","10","180.681828786301","1","360","1360.17251977754","8","2520","0","0","27","15"
"48","22669","105","7.41029909010332","1.60000002384186","8","180.685786757515","180","260","1338.91751701221","288.000004291534","2080","0","0","9","0"
"49","2965","59","7.44890387824896","4.5","8","180.860708263069","163","260","1347.47256654183","782.400031089783","2080","0","0","0","0"
"51","13597","225","7.5099014474771","0.5","9","185.926130770199","21","360","1399.25597360614","32.5","2520","0","0","17","1"
"52","5890","146","7.4521663849544","1","8.35000038146973","180.597419354871","11.3000001907349","260","1345.74979649052","84.7500014305115","2080","0","0","2","0"
"61","42606","199","7.45732854171095","4.57999992370605","10","193.122959214141","60","262","1447.14451722155","480","2096","0","0","1","0"
"63","3447","58","7.55525964635125","3.75","8","184.63687264819","38","211","1394.76751474092","285","1672","0","0","5","0"
"64","4472","81","7.44527952489038","1.60000002384186","8","181.637678914079","66.6999969482422","261","1352.55148862632","292.80000436306","2088","0","0","3","0"
"90","488","38","7.6187704875821","7","8","205.649590163934","180","260","1576.03440497742","1260","2080","0","0","0","0"
"91","3308","236","6.76941354160369","0.25","10","182.592412335409","9","365","1235.06938607704","19.5","2920","0","0","308","14"
"92","38","13","7.55263157894737","1","8","217.894736842105","180","260","1662.63157894737","180","2080","0","0","1","0"
"93","31","7","6.69806450220846","0.660000026226044","8","183.677419354839","180","260","1234.95806201043","118.800004720688","2080","0","0","2","0"
"94","502","95","7.11541832717291","0.800000011920929","10.8","206.818127526515","36.5","2080","1484.15766968288","152.800002276897","15600","0","0","28","10"
"95","126","30","12.5720634890927","0.660000026226044","720","187.547619047619","144","260","2336.28809474574","118.800004720688","129600","0","0","7","1"
"96","118754","283","7.28193618931145","1","10","180.914978874226","1","365","1317.72303748271","1","2920","0","0","29","2"
"97","179","45","6.62999999623059","0.800000011920929","10","191.150837988827","144","261","1286.05731787861","152.800002276897","2088","0","0","11","0"
"98","1143","82","7.37125109201133","6.75","8","182.97646544716","180","365","1350.52129458597","1215","2920","0","0","0","4"
"99","1089","130","7.81123966966669","1","14.7","224.797245190273","12","365","1762.88911859111","96","2920","0","0","7","4"
