OrgIndexId,OrgCodeKey,OrganizationLevel,ESDOrganizationId,ESDName,DistrictCode,DistrictName,SchoolCode,SchoolName,DisplayName,RowCount,FileIndex
5,District|100001|10003|~,District,100001,Educational Service District 101,10003,Keller School District,,District Total,Keller School District | Educational Service District 101,48,Assmt_D_10003
6,District|100001|10050|~,District,100001,Educational Service District 101,10050,Curlew School District,,District Total,Curlew School District | Educational Service District 101,80,Assmt_D_10050
7,District|100001|10065|~,District,100001,Educational Service District 101,10065,Orient School District,,District Total,Orient School District | Educational Service District 101,68,Assmt_D_10065
8,District|100001|10070|~,District,100001,Educational Service District 101,10070,Inchelium School District,,District Total,Inchelium School District | Educational Service District 101,80,Assmt_D_10070
9,District|100001|10309|~,District,100001,Educational Service District 101,10309,Republic School District,,District Total,Republic School District | Educational Service District 101,80,Assmt_D_10309
10,District|100001|1109|~,District,100001,Educational Service District 101,1109,Washtucna School District,,District Total,Washtucna School District | Educational Service District 101,78,Assmt_D_1109
11,District|100001|1122|~,District,100001,Educational Service District 101,1122,Benge School District,,District Total,Benge School District | Educational Service District 101,20,Assmt_D_1122
12,District|100001|1158|~,District,100001,Educational Service District 101,1158,Lind School District,,District Total,Lind School District | Educational Service District 101,80,Assmt_D_1158
13,District|100001|1160|~,District,100001,Educational Service District 101,1160,Ritzville School District,,District Total,Ritzville School District | Educational Service District 101,80,Assmt_D_1160
14,District|100001|22008|~,District,100001,Educational Service District 101,22008,Sprague School District,,District Total,Sprague School District | Educational Service District 101,40,Assmt_D_22008
15,District|100001|22009|~,District,100001,Educational Service District 101,22009,Reardan-Edwall School District,,District Total,Reardan-Edwall School District | Educational Service District 101,79,Assmt_D_22009
16,District|100001|22017|~,District,100001,Educational Service District 101,22017,Almira School District,,District Total,Almira School District | Educational Service District 101,62,Assmt_D_22017
17,District|100001|22073|~,District,100001,Educational Service District 101,22073,Creston School District,,District Total,Creston School District | Educational Service District 101,80,Assmt_D_22073
18,District|100001|22105|~,District,100001,Educational Service District 101,22105,Odessa School District,,District Total,Odessa School District | Educational Service District 101,80,Assmt_D_22105
19,District|100001|22200|~,District,100001,Educational Service District 101,22200,Wilbur School District,,District Total,Wilbur School District | Educational Service District 101,80,Assmt_D_22200
20,District|100001|22204|~,District,100001,Educational Service District 101,22204,Harrington School District,,District Total,Harrington School District | Educational Service District 101,78,Assmt_D_22204
21,District|100001|22207|~,District,100001,Educational Service District 101,22207,Davenport School District,,District Total,Davenport School District | Educational Service District 101,80,Assmt_D_22207
22,District|100001|26056|~,District,100001,Educational Service District 101,26056,Newport School District,,District Total,Newport School District | Educational Service District 101,80,Assmt_D_26056
23,District|100001|26059|~,District,100001,Educational Service District 101,26059,Cusick School District,,District Total,Cusick School District | Educational Service District 101,80,Assmt_D_26059
24,District|100001|26070|~,District,100001,Educational Service District 101,26070,Selkirk School District,,District Total,Selkirk School District | Educational Service District 101,80,Assmt_D_26070
25,District|100001|32081|~,District,100001,Educational Service District 101,32081,Spokane School District,,District Total,Spokane School District | Educational Service District 101,80,Assmt_D_32081
26,District|100001|32123|~,District,100001,Educational Service District 101,32123,Orchard Prairie School District,,District Total,Orchard Prairie School District | Educational Service District 101,61,Assmt_D_32123
27,District|100001|32312|~,District,100001,Educational Service District 101,32312,Great Northern School District,,District Total,Great Northern School District | Educational Service District 101,49,Assmt_D_32312
28,District|100001|32325|~,District,100001,Educational Service District 101,32325,Nine Mile Falls School District,,District Total,Nine Mile Falls School District | Educational Service District 101,80,Assmt_D_32325
29,District|100001|32326|~,District,100001,Educational Service District 101,32326,Medical Lake School District,,District Total,Medical Lake School District | Educational Service District 101,80,Assmt_D_32326
30,District|100001|32354|~,District,100001,Educational Service District 101,32354,Mead School District,,District Total,Mead School District | Educational Service District 101,80,Assmt_D_32354
31,District|100001|32356|~,District,100001,Educational Service District 101,32356,Central Valley School District,,District Total,Central Valley School District | Educational Service District 101,80,Assmt_D_32356
32,District|100001|32358|~,District,100001,Educational Service District 101,32358,Freeman School District,,District Total,Freeman School District | Educational Service District 101,80,Assmt_D_32358
33,District|100001|32360|~,District,100001,Educational Service District 101,32360,Cheney School District,,District Total,Cheney School District | Educational Service District 101,80,Assmt_D_32360
34,District|100001|32361|~,District,100001,Educational Service District 101,32361,East Valley School District (Spokane),,District Total,East Valley School District (Spokane) | Educational Service District 101,80,Assmt_D_32361
35,District|100001|32362|~,District,100001,Educational Service District 101,32362,Liberty School District,,District Total,Liberty School District | Educational Service District 101,80,Assmt_D_32362
36,District|100001|32363|~,District,100001,Educational Service District 101,32363,West Valley School District (Spokane),,District Total,West Valley School District (Spokane) | Educational Service District 101,79,Assmt_D_32363
37,District|100001|32414|~,District,100001,Educational Service District 101,32414,Deer Park School District,,District Total,Deer Park School District | Educational Service District 101,80,Assmt_D_32414
38,District|100001|32416|~,District,100001,Educational Service District 101,32416,Riverside School District,,District Total,Riverside School District | Educational Service District 101,80,Assmt_D_32416
39,District|100001|33030|~,District,100001,Educational Service District 101,33030,Onion Creek School District,,District Total,Onion Creek School District | Educational Service District 101,48,Assmt_D_33030
40,District|100001|33036|~,District,100001,Educational Service District 101,33036,Chewelah School District,,District Total,Chewelah School District | Educational Service District 101,80,Assmt_D_33036
41,District|100001|33049|~,District,100001,Educational Service District 101,33049,Wellpinit School District #49,,District Total,Wellpinit School District #49 | Educational Service District 101,80,Assmt_D_33049
42,District|100001|33070|~,District,100001,Educational Service District 101,33070,Valley School District,,District Total,Valley School District | Educational Service District 101,72,Assmt_D_33070
43,District|100001|33115|~,District,100001,Educational Service District 101,33115,Colville School District,,District Total,Colville School District | Educational Service District 101,80,Assmt_D_33115
44,District|100001|33183|~,District,100001,Educational Service District 101,33183,Loon Lake School District,,District Total,Loon Lake School District | Educational Service District 101,52,Assmt_D_33183
45,District|100001|33202|~,District,100001,Educational Service District 101,33202,Summit Valley School District,,District Total,Summit Valley School District | Educational Service District 101,69,Assmt_D_33202
46,District|100001|33205|~,District,100001,Educational Service District 101,33205,Evergreen School District (Stevens),,District Total,Evergreen School District (Stevens) | Educational Service District 101,39,Assmt_D_33205
47,District|100001|33206|~,District,100001,Educational Service District 101,33206,Columbia (Stevens) School District,,District Total,Columbia (Stevens) School District | Educational Service District 101,80,Assmt_D_33206
48,District|100001|33207|~,District,100001,Educational Service District 101,33207,Mary Walker School District,,District Total,Mary Walker School District | Educational Service District 101,80,Assmt_D_33207
49,District|100001|33211|~,District,100001,Educational Service District 101,33211,Northport School District,,District Total,Northport School District | Educational Service District 101,80,Assmt_D_33211
50,District|100001|33212|~,District,100001,Educational Service District 101,33212,Kettle Falls School District,,District Total,Kettle Falls School District | Educational Service District 101,80,Assmt_D_33212
51,District|100001|38126|~,District,100001,Educational Service District 101,38126,LaCrosse School District,,District Total,LaCrosse School District | Educational Service District 101,80,Assmt_D_38126
52,District|100001|38264|~,District,100001,Educational Service District 101,38264,Lamont School District,,District Total,Lamont School District | Educational Service District 101,50,Assmt_D_38264
53,District|100001|38265|~,District,100001,Educational Service District 101,38265,Tekoa School District,,District Total,Tekoa School District | Educational Service District 101,79,Assmt_D_38265
54,District|100001|38267|~,District,100001,Educational Service District 101,38267,Pullman School District,,District Total,Pullman School District | Educational Service District 101,80,Assmt_D_38267
55,District|100001|38300|~,District,100001,Educational Service District 101,38300,Colfax School District,,District Total,Colfax School District | Educational Service District 101,80,Assmt_D_38300
56,District|100001|38301|~,District,100001,Educational Service District 101,38301,Palouse School District,,District Total,Palouse School District | Educational Service District 101,80,Assmt_D_38301
57,District|100001|38302|~,District,100001,Educational Service District 101,38302,Garfield School District,,District Total,Garfield School District | Educational Service District 101,80,Assmt_D_38302
58,District|100001|38304|~,District,100001,Educational Service District 101,38304,Steptoe School District,,District Total,Steptoe School District | Educational Service District 101,34,Assmt_D_38304
59,District|100001|38306|~,District,100001,Educational Service District 101,38306,Colton School District,,District Total,Colton School District | Educational Service District 101,80,Assmt_D_38306
60,District|100001|38308|~,District,100001,Educational Service District 101,38308,Endicott School District,,District Total,Endicott School District | Educational Service District 101,69,Assmt_D_38308
61,District|100001|38320|~,District,100001,Educational Service District 101,38320,Rosalia School District,,District Total,Rosalia School District | Educational Service District 101,80,Assmt_D_38320
62,District|100001|38322|~,District,100001,Educational Service District 101,38322,St. John School District,,District Total,St. John School District | Educational Service District 101,50,Assmt_D_38322
63,District|100001|38324|~,District,100001,Educational Service District 101,38324,Oakesdale School District,,District Total,Oakesdale School District | Educational Service District 101,80,Assmt_D_38324
64,District|100002|13073|~,District,100002,Educational Service District 105,13073,Wahluke School District,,District Total,Wahluke School District | Educational Service District 105,80,Assmt_D_13073
65,District|100002|13160|~,District,100002,Educational Service District 105,13160,Royal School District,,District Total,Royal School District | Educational Service District 105,80,Assmt_D_13160
66,District|100002|19007|~,District,100002,Educational Service District 105,19007,Damman School District,,District Total,Damman School District | Educational Service District 105,31,Assmt_D_19007
67,District|100002|19028|~,District,100002,Educational Service District 105,19028,Easton School District,,District Total,Easton School District | Educational Service District 105,80,Assmt_D_19028
68,District|100002|19400|~,District,100002,Educational Service District 105,19400,Thorp School District,,District Total,Thorp School District | Educational Service District 105,72,Assmt_D_19400
69,District|100002|19401|~,District,100002,Educational Service District 105,19401,Ellensburg School District,,District Total,Ellensburg School District | Educational Service District 105,80,Assmt_D_19401
70,District|100002|19403|~,District,100002,Educational Service District 105,19403,Kittitas School District,,District Total,Kittitas School District | Educational Service District 105,80,Assmt_D_19403
